Generation	SurMean	SurVar	RepMean	RepVar
0	1.0	0.0	0.0	0.0
10	0.349740102725	0.0246161297966	2.41478047824	0.391054715982
20	0.0544729804662	0.00176854626903	7.83303990401	1.66604432295
30	0.0329893814469	0.000826587691676	11.5782997082	3.92333670825
40	0.0296151843461	0.000668472712631	14.0182677431	3.64080710226
50	0.014326899724	0.000212654953936	19.0250811924	6.23075943839
60	0.0069697736054	6.73954157653e-05	23.5370964717	13.5659120085
70	0.00464519645277	3.43072485181e-05	25.8034451165	14.397766563
80	0.00481867044797	3.41533141359e-05	27.3917831232	16.8822571978
90	0.00468822092518	3.1554664119e-05	30.4064246384	26.5697558831
100	0.00502775527289	2.9541649284e-05	31.560994675	38.8630257945
