Gen	DouInv	SInv	BInv	Inv	Double	S	B	WT
0	125	125	125	125	125	125	125	125
10	163	132	85	141	67	180	187	1045
20	186	84	92	148	98	159	272	961
30	278	124	104	60	61	90	253	1030
40	282	171	85	55	42	108	347	910
50	391	194	95	85	46	70	386	733
60	408	144	71	81	59	70	416	751
70	393	135	61	78	39	119	443	732
80	575	98	100	60	53	99	382	633
90	582	94	97	65	30	71	408	653
100	510	109	111	56	54	77	405	678
110	519	139	138	39	50	60	481	574
120	383	109	157	63	125	74	532	557
130	406	140	109	91	112	102	460	580
140	328	162	139	98	93	90	521	569
150	353	204	116	106	104	102	495	520
160	387	174	125	115	121	80	503	495
170	437	95	160	160	135	70	504	439
180	414	164	117	139	104	72	491	499
190	445	202	134	101	81	85	466	486
200	432	161	183	92	142	74	373	543
